Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
302.62,75.13,8.14,101.91,100.82,184.2,453.81,72.26,78.95,0,1046.26,81.43,-1231.07
303.65,90.63,31.25,102.03,100.78,183.77,453.04,49.15,79.5,0,1044.43,81.5,-1231.07
304.65,92.46,13.18,102.18,100.82,182.87,450.76,67.23,79.71,0,1043.62,82.85,-1231.07
305.75,93.91,23.39,102.37,100.82,182.74,453.04,57.01,80.53,0,1046.67,84.09,-1231.45
306.75,116.31,27.28,102.48,100.86,182.19,452.28,53.12,81.02,0,1044.23,85.58,-1231.07
307.84,133.81,35.74,102.64,100.86,181.48,456.86,44.66,81.02,0,1048.3,84.81,-1231.07
308.91,109.47,23.54,102.83,100.9,180.88,451.52,56.86,81.02,0,1047.07,83.67,-1231.07
309.94,115.9,10.35,102.9,100.97,180.6,451.14,70.05,80.81,0,1044.23,86.54,-1231.07
311.07,256.66,9.21,102.94,100.94,180.52,451.14,71.19,80.81,0,1046.26,88.38,-1231.07
312.1,109.37,5.93,103.02,101.01,179.85,452.28,74.47,81.02,0,1045.86,87.52,-1231.07
313.13,309.87,6.92,103.09,101.05,179.22,445.42,73.48,80.81,0,1040.36,86.79,-1231.07
314.2,201.65,4.02,103.17,101.09,179.08,451.14,76.38,80.81,0,1042.4,86.7,-1231.07
315.2,400.65,20.88,103.21,101.09,179.03,449.99,59.52,81.02,0,1042.2,86.12,-1230.69
316.29,262.93,10.58,103.21,101.13,178.67,450.76,69.82,81.02,0,1043.01,87.17,-1231.07
317.45,208.45,13.63,103.25,101.17,178.32,452.66,66.77,81.29,0,1045.04,85.58,-1230.69
318.45,106.06,15.84,103.32,101.24,177.3,453.04,64.56,81.57,0,1044.43,85.28,-1231.07
319.49,81.23,11.8,103.44,101.43,176.86,448.09,68.6,82.6,0,1044.64,84.81,-1231.07
322.14,0,17.83,103.48,101.47,176.72,452.28,62.57,83.15,0,1042.4,86.23,-1231.07
